"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%26","Clark, Crawford, Daviess, Dubois, Floyd, Gibson, Greene, Harrison, Jackson, Knox, Lawrence, Martin, Monroe, Orange, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Warrick, Washington","Residential Improved",4,0.92,0.93,0.93,18.67,34.81,1.06,0,3745
"df_sp10","Allen","Industrial Vacant",14,0.48,0.88,0.99,21.25,31.87,1.46,0,14
"2.5%27","Allen, Dekalb, Steuben","Industrial Improved",14,0.82,0.91,0.93,15.74,27.18,1.39,0,27
"df_sp11","Allen, Dekalb, Steuben","Commercial Vacant",14,0.83,0.91,0.97,26.4,48.15,0.85,0,15
"2.5%28","Allen, Dekalb, Lagrange, Noble, Steuben, Wells","Commercial Improved",14,0.88,0.91,0.94,14.97,23.04,1.11,0,129
"2.5%29","Allen, Dekalb, Lagrange, Noble, Steuben, Wells","Residential Vacant",14,0.69,0.82,0.92,38.8,54.48,1.24,0,142
"2.5%30","Allen, Dekalb, Grant, Lagrange, Noble, Randolph, Steuben, Wabash, Wells, Whitley","Residential Improved",14,0.99,0.99,0.99,15.69,44.98,1.05,0,7088
"15","Floyd, Monroe","Industrial Vacant",13,NA,NA,NA,NA,NA,NA,NA,0
"df_sp12","Clark, Dearborn, Floyd, Lawrence, Monroe","Industrial Improved",13,0.49,0.64,0.77,26.77,38.21,1.18,0,9
"df_sp13","Bartholomew, Clark, Dearborn, Floyd, Monroe","Commercial Vacant",13,0.12,0.22,0.89,165.5,112.51,1.36,0,16
"2.5%31","Bartholomew, Clark, Dearborn, Floyd, Harrison, Jennings, Lawrence, Monroe, Scott","Commercial Improved",13,0.93,0.95,0.97,18.68,29.62,1.13,0,289
"2.5%32","Bartholomew, Brown, Clark, Dearborn, Floyd, Harrison, Jackson, Lawrence, Monroe, Owen, Scott","Residential Vacant",13,0.86,0.9,0.93,29.75,44.4,2.15,0,389
"2.5%33","Bartholomew, Brown, Clark, Dearborn, Floyd, Franklin, Harrison, Jennings, Lawrence, Martin, Monroe, Owen, Ripley, Scott","Residential Improved",13,0.94,0.94,0.95,15.37,24.26,1.04,0,7862
"2.5%34","Delaware, Johnson, Madison, Marion","Industrial Vacant",11,0.54825,0.9,0.99,35.55,56.31,2.02,0,20
"2.5%35","Boone, Delaware, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Madison, Marion, Wayne","Industrial Improved",11,0.57,0.65,0.75,35.57,41.48,1.09,0,112
"2.5%36","Boone, Delaware, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Madison, Marion, Morgan, Wayne","Commercial Vacant",11,0.23,0.37,0.58,107.33,91.8,2.18,0,149
"2.5%37","Boone, Delaware, Grant, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Madison, Marion, Monroe, Morgan, Wayne","Commercial Improved",11,0.69,0.73,0.76,42,56.71,1.46,0,1103
"2.5%38","Boone, Delaware, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Madison, Marion, Monroe, Morgan, Shelby, Wayne","Residential Vacant",11,0.34,0.44,0.55,96.37,94.61,0.86,0,2042
"2.5%39","Boone, Brown, Cass, Delaware, Grant, Hamilton, Hancock, Hendricks, Henry, Howard, Johnson, Madison, Marion, Miami, Monroe, Morgan, Shelby, Tipton, Wayne","Residential Improved",11,0.93,0.93,0.93,16.84,31.29,1.06,0,47552
"16","Tippecanoe","Industrial Vacant",12,NA,NA,NA,NA,NA,NA,NA,0
"df_sp14","Tippecanoe, Vigo","Industrial Improved",12,0.55,0.98,1.33,36.36,51.15,2.27,0,16
"df_sp15","Tippecanoe, Vigo","Commercial Vacant",12,0.14,0.23,0.45,99.55,100.09,1.28,0,14
"2.5%40","Carroll, Clay, Tippecanoe, Vigo, White","Commercial Improved",12,0.74,0.77,0.82,39,61.99,1.19,0,238
"2.5%41","Boone, Carroll, Clay, Tippecanoe, Vigo, White","Residential Vacant",12,0.88,0.91,0.92,19.26,33.22,1.44,0,329
"2.5%42","Boone, Carroll, Cass, Clay, Fountain, Howard, Montgomery, Owen, Tippecanoe, Vigo, Warren, White","Residential Improved",12,0.88,0.88,0.89,20.23,37.85,1.06,0,5530
"df_sp16","Dubois, Vanderburgh","Industrial Vacant",10,0.07,0.27,0.63,87.91,97.97,1.47,0,7
"2.5%43","Dubois, Knox, Vanderburgh, Warrick","Industrial Improved",10,0.51,0.55,0.83,46.05,49.53,0.95,0,31
"2.5%44","Dubois, Knox, Vanderburgh, Warrick","Commercial Vacant",10,0.42,0.63,0.79,57.96,71.86,1.03,0,51
"2.5%45","Dubois, Greene, Knox, Vanderburgh, Warrick","Commercial Improved",10,0.65,0.7,0.76,43.59,74.21,1.47,0,243
"2.5%46","Dubois, Greene, Knox, Posey, Spencer, Sullivan, Vanderburgh, Warrick","Residential Vacant",10,0.9,0.92,0.93,129.67,132.77,1.25,0,671
"2.5%47","Dubois, Greene, Knox, Pike, Posey, Spencer, Sullivan, Vanderburgh, Warrick","Residential Improved",10,0.93,0.94,0.94,15.34,31.24,1.03,0,4484
"df_sp17","Elkhart, Kosciusko, St. Joseph","Industrial Vacant",8,0.17,0.32,0.98,134.43,90.9,3.26,0,13
"2.5%48","Elkhart, Kosciusko, St. Joseph","Industrial Improved",8,0.73,0.82,0.9,31.51,39.81,1.52,0,75
"df_sp18","Elkhart, Kosciusko, St. Joseph","Commercial Vacant",8,0.21,0.38,1.02,91.78,84.08,1.11,0,14
"2.5%49","Elkhart, Kosciusko, Laporte, Noble, St. Joseph","Commercial Improved",8,0.83,0.87,0.93,32.06,44.48,1.72,0,333
"2.5%50","Elkhart, Kosciusko, Laporte, St. Joseph","Residential Vacant",8,0.8,0.85,0.9,43.51,65.44,1.23,0,351
"2.5%51","Elkhart, Kosciusko, Lagrange, Laporte, Miami, Noble, St. Joseph, Wabash","Residential Improved",8,0.94,0.94,0.95,19.67,32.42,1.06,0,7580
"df_sp19","Jasper, Lake","Industrial Vacant",9,0.89,1.01,1.14,24.62,38.88,1.07,0,10
"2.5%52","Jasper, Lake, Porter","Industrial Improved",9,0.95,0.96,0.98,14.23,42.09,1.09,0,50
"2.5%53","Lake, Newton","Commercial Vacant",9,0.9,0.98,1,15.03,25.95,1.02,0,36
"2.5%54","Jasper, Lake, Laporte, Newton, Porter","Commercial Improved",9,0.97,0.97,0.98,11.33,23.36,1.08,0,627
"2.5%55","Jasper, Lake, Laporte, Newton, Porter","Residential Vacant",9,0.91,0.92,0.94,23.74,39.38,1.01,0,467
"2.5%56","Jasper, Lake, Laporte, Newton, Porter","Residential Improved",9,0.98,0.98,0.98,14.96,35.22,1.05,0,17841
